"PRODUCT","DRAW NUMBER","DRAW DATE","NUMBER DRAWN 1","NUMBER DRAWN 2","NUMBER DRAWN 3","NUMBER DRAWN 4","NUMBER DRAWN 5","NUMBER DRAWN 6","BONUS NUMBER"
"BC49",1,"1992-01-29",3,4,18,41,42,45,35
"BC49",2,"1992-02-01",4,9,15,22,34,35,32
"BC49",3,"1992-02-05",7,8,31,38,46,49,39
"BC49",4,"1992-02-08",5,8,9,34,36,44,4
"BC49",5,"1992-02-12",3,5,13,23,30,41,45
"BC49",6,"1992-02-15",5,20,22,32,45,47,19
"BC49",7,"1992-02-19",1,4,8,33,37,38,24
"BC49",8,"1992-02-22",8,10,11,20,34,46,1
"BC49",9,"1992-02-26",13,24,26,27,28,49,14
"BC49",10,"1992-02-29",9,14,19,27,41,42,1
"BC49",11,"1992-03-04",10,29,33,40,44,49,27
"BC49",12,"1992-03-07",10,12,24,37,40,42,8
"BC49",13,"1992-03-11",19,21,32,34,44,46,24
"BC49",14,"1992-03-14",3,5,6,8,15,38,39
"BC49",15,"1992-03-18",6,15,24,36,38,43,23
"BC49",16,"1992-03-21",8,16,17,33,35,38,20
"BC49",17,"1992-03-25",10,15,25,27,28,34,26
"BC49",18,"1992-03-28",18,23,31,32,33,38,40
"BC49",19,"1992-04-01",1,16,28,31,33,34,42
"BC49",20,"1992-04-04",9,15,23,33,34,36,4
"BC49",21,"1992-04-08",4,10,19,32,36,40,5
"BC49",22,"1992-04-11",4,8,26,44,45,46,11
"BC49",23,"1992-04-15",7,13,20,21,22,47,6
"BC49",24,"1992-04-18",5,16,28,31,41,43,10
"BC49",25,"1992-04-22",2,12,30,31,39,43,25
"BC49",26,"1992-04-25",6,7,19,27,44,46,15
"BC49",27,"1992-04-29",3,6,15,19,34,41,14
"BC49",28,"1992-05-02",11,33,35,36,40,49,27
"BC49",29,"1992-05-06",7,17,18,19,24,42,45
"BC49",30,"1992-05-09",4,5,11,15,31,33,40
"BC49",31,"1992-05-13",3,8,20,24,38,47,44
"BC49",32,"1992-05-16",13,14,20,41,43,44,38
"BC49",33,"1992-05-20",3,34,38,41,44,46,28
"BC49",34,"1992-05-23",1,16,18,31,32,33,23
"BC49",35,"1992-05-27",9,23,29,38,46,48,19
"BC49",36,"1992-05-30",25,30,31,36,42,44,11
"BC49",37,"1992-06-03",20,32,37,40,42,49,24
"BC49",38,"1992-06-06",6,28,32,34,41,42,49
"BC49",39,"1992-06-10",9,14,19,20,24,28,36
"BC49",40,"1992-06-13",5,6,8,27,28,33,38
"BC49",41,"1992-06-17",4,12,21,32,37,48,33
"BC49",42,"1992-06-20",7,22,27,33,37,47,14
"BC49",43,"1992-06-24",5,6,8,12,23,44,24
"BC49",44,"1992-06-27",8,9,16,21,41,44,26
"BC49",45,"1992-07-01",16,20,23,29,30,33,3
"BC49",46,"1992-07-04",15,20,23,34,41,49,4
"BC49",47,"1992-07-08",7,11,26,29,33,36,40
"BC49",48,"1992-07-11",2,13,33,35,40,44,8
"BC49",49,"1992-07-15",15,23,33,37,41,49,16
"BC49",50,"1992-07-18",5,8,12,30,34,35,3
"BC49",51,"1992-07-22",4,13,18,34,35,42,43
"BC49",52,"1992-07-25",6,7,8,16,19,38,37
"BC49",53,"1992-07-29",5,17,20,21,35,43,47
"BC49",54,"1992-08-01",9,17,24,25,29,36,39
"BC49",55,"1992-08-05",1,3,12,23,37,47,13
"BC49",56,"1992-08-08",1,2,13,23,45,48,47
"BC49",57,"1992-08-12",10,17,20,31,33,38,18
"BC49",58,"1992-08-15",3,4,9,21,43,47,46
"BC49",59,"1992-08-19",10,18,27,35,41,45,16
"BC49",60,"1992-08-22",3,8,10,13,16,34,17
"BC49",61,"1992-08-26",1,2,15,26,30,34,19
"BC49",62,"1992-08-29",6,16,24,26,35,46,2
"BC49",63,"1992-09-02",32,37,39,40,42,44,26
"BC49",64,"1992-09-05",11,18,22,34,36,40,37
"BC49",65,"1992-09-09",6,9,18,19,27,36,31
"BC49",66,"1992-09-12",4,25,33,38,48,49,41
"BC49",67,"1992-09-16",17,20,28,39,40,42,6
"BC49",68,"1992-09-19",2,9,15,18,22,35,44
"BC49",69,"1992-09-23",12,21,25,27,32,37,2
"BC49",70,"1992-09-26",8,14,15,19,20,34,18
"BC49",71,"1992-09-30",5,11,13,20,31,35,24
"BC49",72,"1992-10-03",2,8,11,18,28,29,6
"BC49",73,"1992-10-07",4,20,29,34,40,43,37
"BC49",74,"1992-10-10",6,9,24,31,40,49,10
"BC49",75,"1992-10-14",2,13,18,28,37,47,8
"BC49",76,"1992-10-17",12,16,19,25,34,48,27
"BC49",77,"1992-10-21",1,13,24,30,33,49,41
"BC49",78,"1992-10-24",4,7,10,31,41,43,47
"BC49",79,"1992-10-28",13,21,29,35,39,42,12
"BC49",80,"1992-10-31",1,15,22,25,37,44,12
"BC49",81,"1992-11-04",4,13,14,25,40,48,12
"BC49",82,"1992-11-07",27,33,34,39,41,43,18
"BC49",83,"1992-11-11",7,11,34,35,39,48,3
"BC49",84,"1992-11-14",3,7,8,18,23,32,20
"BC49",85,"1992-11-18",7,10,11,12,20,23,13
"BC49",86,"1992-11-21",14,18,27,32,35,41,2
"BC49",87,"1992-11-25",3,6,9,14,23,24,35
"BC49",88,"1992-11-28",17,24,25,31,40,48,46
"BC49",89,"1992-12-02",5,12,22,25,46,48,47
"BC49",90,"1992-12-05",4,26,30,36,37,47,13
"BC49",91,"1992-12-09",9,11,23,29,36,42,46
"BC49",92,"1992-12-12",1,3,4,22,23,44,43
"BC49",93,"1992-12-16",15,28,33,36,40,45,3
"BC49",94,"1992-12-19",5,21,22,25,27,34,35
"BC49",95,"1992-12-23",1,24,36,38,40,48,20
"BC49",96,"1992-12-26",5,19,25,29,32,33,8
"BC49",97,"1992-12-30",2,9,21,25,35,42,36
"BC49",98,"1993-01-02",9,23,24,25,28,47,45
"BC49",99,"1993-01-06",25,27,32,35,38,39,29
"BC49",100,"1993-01-09",18,22,27,33,36,46,37
"BC49",101,"1993-01-13",5,17,26,29,34,47,40
"BC49",102,"1993-01-16",1,8,11,24,25,44,28
"BC49",103,"1993-01-20",4,8,30,36,43,47,38
"BC49",104,"1993-01-23",13,17,37,39,40,43,31
"BC49",105,"1993-01-27",7,22,28,37,43,49,17
"BC49",106,"1993-01-30",14,16,26,29,39,43,25
"BC49",107,"1993-02-03",11,17,27,35,45,46,24
"BC49",108,"1993-02-06",3,4,19,30,31,37,8
"BC49",109,"1993-02-10",12,14,20,30,44,45,7
"BC49",110,"1993-02-13",4,14,21,35,44,48,10
"BC49",111,"1993-02-17",1,3,25,31,42,48,24
"BC49",112,"1993-02-20",1,3,6,7,35,37,48
"BC49",113,"1993-02-24",5,20,24,38,42,47,27
"BC49",114,"1993-02-27",13,23,34,35,39,49,7
"BC49",115,"1993-03-03",8,17,23,29,36,41,22
"BC49",116,"1993-03-06",9,14,25,35,42,45,1
"BC49",117,"1993-03-10",1,6,8,31,39,46,43
"BC49",118,"1993-03-13",12,15,31,39,40,43,27
"BC49",119,"1993-03-17",2,3,17,24,36,44,41
"BC49",120,"1993-03-20",9,11,15,17,19,46,37
"BC49",121,"1993-03-24",5,17,29,35,39,48,32
"BC49",122,"1993-03-27",16,22,26,34,36,43,5
"BC49",123,"1993-03-31",9,11,17,21,22,34,45
"BC49",124,"1993-04-03",9,15,17,18,43,47,22
"BC49",125,"1993-04-07",2,3,5,18,24,39,25
"BC49",126,"1993-04-10",15,29,35,37,41,42,25
"BC49",127,"1993-04-14",31,33,34,38,43,45,44
"BC49",128,"1993-04-17",2,3,12,29,33,49,18
"BC49",129,"1993-04-21",1,3,17,21,28,48,2
"BC49",130,"1993-04-24",11,27,39,40,45,48,8
"BC49",131,"1993-04-28",11,21,26,30,37,39,2
