"PRODUCT","DRAW NUMBER","DRAW DATE","PRIZE DIVISION","SEQUENCE NUMBER","NUMBER DRAWN 1","NUMBER DRAWN 2","NUMBER DRAWN 3","NUMBER DRAWN 4","NUMBER DRAWN 5","GRAND NUMBER"
"DGRD",1,"2016-10-20",0,0,8,14,18,35,37,5
"DGRD",2,"2016-10-24",0,0,8,9,28,36,48,1
"DGRD",3,"2016-10-27",0,0,5,14,24,30,34,7
"DGRD",4,"2016-10-31",0,0,3,14,25,30,45,2
"DGRD",5,"2016-11-03",0,0,9,12,19,24,39,4
"DGRD",6,"2016-11-07",0,0,10,21,23,30,32,5
"DGRD",7,"2016-11-10",0,0,1,11,16,46,48,5
"DGRD",8,"2016-11-14",0,0,8,12,17,23,29,3
"DGRD",9,"2016-11-17",0,0,2,5,9,17,44,1
"DGRD",10,"2016-11-21",0,0,17,23,28,30,48,5
"DGRD",11,"2016-11-24",0,0,2,10,14,40,45,3
"DGRD",12,"2016-11-28",0,0,2,14,30,34,43,7
"DGRD",13,"2016-12-01",0,0,4,23,34,39,40,3
"DGRD",14,"2016-12-05",0,0,16,24,29,37,40,3
"DGRD",15,"2016-12-08",0,0,6,7,28,30,38,6
"DGRD",16,"2016-12-12",0,0,6,7,10,14,33,5
"DGRD",17,"2016-12-15",0,0,24,28,36,39,48,3
"DGRD",18,"2016-12-19",0,0,3,9,10,13,25,4
"DGRD",19,"2016-12-22",0,0,4,7,8,38,40,6
"DGRD",20,"2016-12-26",0,0,5,18,26,42,45,4
"DGRD",21,"2016-12-29",0,0,6,16,40,43,46,6
"DGRD",22,"2017-01-02",0,0,6,25,26,42,47,3
"DGRD",23,"2017-01-05",0,0,20,26,37,45,49,5
"DGRD",24,"2017-01-09",0,0,21,26,27,30,47,1
"DGRD",25,"2017-01-12",0,0,11,17,24,35,38,6
"DGRD",26,"2017-01-16",0,0,3,19,24,37,46,6
"DGRD",27,"2017-01-19",0,0,5,7,11,13,32,6
"DGRD",28,"2017-01-23",0,0,10,31,40,42,46,2
"DGRD",29,"2017-01-26",0,0,19,25,27,34,44,1
"DGRD",30,"2017-01-30",0,0,16,19,32,35,44,3
"DGRD",31,"2017-02-02",0,0,6,7,31,34,38,2
"DGRD",32,"2017-02-06",0,0,4,42,46,47,48,7
"DGRD",33,"2017-02-09",0,0,7,9,33,34,48,1
"DGRD",34,"2017-02-13",0,0,7,15,23,30,47,1
"DGRD",35,"2017-02-16",0,0,2,5,20,21,47,7
"DGRD",36,"2017-02-20",0,0,8,12,14,16,44,1
"DGRD",37,"2017-02-23",0,0,11,20,21,24,39,1
"DGRD",38,"2017-02-27",0,0,4,8,14,22,34,1
"DGRD",39,"2017-03-02",0,0,19,27,31,41,43,2
"DGRD",40,"2017-03-06",0,0,6,10,13,28,47,5
"DGRD",41,"2017-03-09",0,0,8,30,31,38,40,1
